sent_id,filename,sentence_nr,token_nr,word,label,POS,lemma,length,normalised_pos,pos_category,sentiment,isExpression,hasPrefix,hasSuffix,isAntonym,previous_pos,next_pos,previous_lemma,next_lemma
ba05_0,baskervilles05,0,0,Chapter,O,NN,chapter,5,0.2,NOUN,-0.4,False,False,False,False,-,CD,-,5.
ba05_0,baskervilles05,0,1,5.,O,CD,5.,5,0.4,OTHER,-0.4,False,False,False,False,NN,CD,chapter,three
ba05_0,baskervilles05,0,2,Three,O,CD,three,5,0.6,OTHER,-0.4,False,False,False,False,CD,NNS,5.,broken
ba05_0,baskervilles05,0,3,Broken,O,NNS,broken,5,0.8,NOUN,-0.4,False,False,False,False,CD,NNS,three,thread
ba05_0,baskervilles05,0,4,Threads,O,NNS,thread,5,1.0,NOUN,0.0,False,False,False,False,NNS,NN,broken,sherlock
ba05_1,baskervilles05,1,0,Sherlock,O,NN,sherlock,19,0.053,NOUN,0.0,False,False,False,False,NNS,NNS,thread,holmes
ba05_1,baskervilles05,1,1,Holmes,O,NNS,holmes,19,0.105,NOUN,0.2,False,False,False,False,NN,VBD,sherlock,have
ba05_1,baskervilles05,1,2,had,O,VBD,have,19,0.158,VERB,0.975,False,False,False,False,NNS,",",holmes,","
ba05_1,baskervilles05,1,3,",",O,",",",",19,0.211,OTHER,0.975,False,False,False,False,VBD,IN,have,in
ba05_1,baskervilles05,1,4,in,O,IN,in,19,0.263,OTHER,0.975,False,False,False,False,",",DT,",",a
ba05_1,baskervilles05,1,5,a,O,DT,a,19,0.316,OTHER,0.975,False,False,False,False,IN,RB,in,very
ba05_1,baskervilles05,1,6,very,O,RB,very,19,0.368,ADV,0.975,False,False,False,False,DT,JJ,a,remarkable
ba05_1,baskervilles05,1,7,remarkable,O,JJ,remarkable,19,0.421,ADJ,0.75,False,False,False,False,RB,NN,very,degree
ba05_1,baskervilles05,1,8,degree,O,NN,degree,19,0.474,NOUN,0.0,False,False,False,False,JJ,",",remarkable,","
ba05_1,baskervilles05,1,9,",",O,",",",",19,0.526,OTHER,0.0,False,False,False,False,NN,DT,degree,the
ba05_1,baskervilles05,1,10,the,O,DT,the,19,0.579,OTHER,0.0,False,False,False,False,",",NN,",",power
ba05_1,baskervilles05,1,11,power,O,NN,power,19,0.632,NOUN,0.0,False,False,False,False,DT,IN,the,of
ba05_1,baskervilles05,1,12,of,O,IN,of,19,0.684,OTHER,0.0,False,False,False,False,NN,VBG,power,detach
ba05_1,baskervilles05,1,13,detaching,O,VBG,detach,19,0.737,VERB,0.0,False,False,False,False,IN,PRP$,of,his
ba05_1,baskervilles05,1,14,his,O,PRP$,his,19,0.789,PRON,0.0,False,False,False,False,VBG,NN,detach,mind
ba05_1,baskervilles05,1,15,mind,O,NN,mind,19,0.842,NOUN,0.0,False,False,False,False,PRP$,IN,his,at
ba05_1,baskervilles05,1,16,at,O,IN,at,19,0.895,OTHER,0.0,False,False,False,False,NN,MD,mind,will
ba05_1,baskervilles05,1,17,will,O,MD,will,19,0.947,OTHER,0.0,False,False,False,False,IN,.,at,.
ba05_1,baskervilles05,1,18,.,O,.,.,19,1.0,OTHER,0.0,False,False,False,False,MD,IN,will,for
ba05_2,baskervilles05,2,0,For,O,IN,for,31,0.032,OTHER,-0.05,False,False,False,False,.,CD,.,two
ba05_2,baskervilles05,2,1,two,O,CD,two,31,0.065,OTHER,-0.05,False,False,False,False,IN,NNS,for,hour
ba05_2,baskervilles05,2,2,hours,O,NNS,hour,31,0.097,NOUN,-0.05,False,False,False,False,CD,DT,two,the
ba05_2,baskervilles05,2,3,the,O,DT,the,31,0.129,OTHER,-0.05,False,False,False,False,NNS,JJ,hour,strange
ba05_2,baskervilles05,2,4,strange,O,JJ,strange,31,0.161,ADJ,-0.05,False,False,False,False,DT,NN,the,business
ba05_2,baskervilles05,2,5,business,O,NN,business,31,0.194,NOUN,0.0,False,False,False,False,JJ,IN,strange,in
ba05_2,baskervilles05,2,6,in,O,IN,in,31,0.226,OTHER,0.0,False,False,False,False,NN,WDT,business,which
ba05_2,baskervilles05,2,7,which,O,WDT,which,31,0.258,OTHER,0.0,False,False,False,False,IN,PRP,in,we
ba05_2,baskervilles05,2,8,we,O,PRP,we,31,0.29,PRON,0.0,False,False,False,False,WDT,VBD,which,have
ba05_2,baskervilles05,2,9,had,O,VBD,have,31,0.323,VERB,0.0,False,False,False,False,PRP,VBN,we,be
ba05_2,baskervilles05,2,10,been,O,VBN,be,31,0.355,OTHER,0.0,False,False,False,False,VBD,VBN,have,involve
ba05_2,baskervilles05,2,11,involved,O,VBN,involve,31,0.387,OTHER,0.0,False,True,False,False,VBN,VBN,be,appear
ba05_2,baskervilles05,2,12,appeared,O,VBN,appear,31,0.419,OTHER,0.0,False,True,False,False,VBN,TO,involve,to
ba05_2,baskervilles05,2,13,to,O,TO,to,31,0.452,OTHER,0.0,False,False,False,False,VBN,VB,appear,be
ba05_2,baskervilles05,2,14,be,O,VB,be,31,0.484,VERB,0.0,False,False,False,False,TO,VBN,to,forget
ba05_2,baskervilles05,2,15,forgotten,O,VBN,forget,31,0.516,OTHER,0.0,False,False,False,False,VB,",",be,","
ba05_2,baskervilles05,2,16,",",O,",",",",31,0.548,OTHER,0.3,False,False,False,False,VBN,CC,forget,and
ba05_2,baskervilles05,2,17,and,O,CC,and,31,0.581,OTHER,0.3,False,True,False,False,",",PRP,",",he
ba05_2,baskervilles05,2,18,he,O,PRP,he,31,0.613,PRON,0.3,False,False,False,False,CC,VBD,and,be
ba05_2,baskervilles05,2,19,was,O,VBD,be,31,0.645,VERB,0.3,False,False,False,False,PRP,RB,he,entirely
ba05_2,baskervilles05,2,20,entirely,O,RB,entirely,31,0.677,ADV,0.3,False,False,False,False,VBD,VBN,be,absorb
ba05_2,baskervilles05,2,21,absorbed,O,VBN,absorb,31,0.71,OTHER,0.3,False,True,False,False,RB,IN,entirely,in
ba05_2,baskervilles05,2,22,in,O,IN,in,31,0.742,OTHER,0.2,False,False,False,False,VBN,DT,absorb,the
ba05_2,baskervilles05,2,23,the,O,DT,the,31,0.774,OTHER,0.2,False,False,False,False,IN,NNS,in,picture
ba05_2,baskervilles05,2,24,pictures,O,NNS,picture,31,0.806,NOUN,0.2,False,False,False,False,DT,IN,the,of
ba05_2,baskervilles05,2,25,of,O,IN,of,31,0.839,OTHER,0.2,False,False,False,False,NNS,DT,picture,the
ba05_2,baskervilles05,2,26,the,O,DT,the,31,0.871,OTHER,0.2,False,False,False,False,IN,JJ,of,modern
ba05_2,baskervilles05,2,27,modern,O,JJ,modern,31,0.903,ADJ,0.2,False,False,False,False,DT,JJ,the,belgian
ba05_2,baskervilles05,2,28,Belgian,O,JJ,belgian,31,0.935,ADJ,0.0,False,False,False,False,JJ,NNS,modern,master
ba05_2,baskervilles05,2,29,masters,O,NNS,master,31,0.968,NOUN,0.0,False,False,False,False,JJ,.,belgian,.
ba05_2,baskervilles05,2,30,.,O,.,.,31,1.0,OTHER,0.0,False,False,False,False,NNS,PRP,master,he
ba05_3,baskervilles05,3,0,He,O,PRP,he,30,0.033,PRON,0.0,False,False,False,False,.,MD,.,would
